Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross,Released_Decade
A,175,Crime,9.2,100.0,Francis Ford Coppola,1620367,134.966411,1970s
UA,152,Action,9.0,84.0,Christopher Nolan,2303232,534.858444,2000s
A,202,Crime,9.0,90.0,Francis Ford Coppola,1129952,57.3,1970s
U,96,Crime,9.0,96.0,Sidney Lumet,689845,4.36,1950s
U,201,Action,8.9,94.0,Peter Jackson,1642758,377.845905,2000s
A,154,Crime,8.9,94.0,Quentin Tarantino,1826188,107.928762,1990s
A,195,Biography,8.9,94.0,Steven Spielberg,1213505,96.898818,1990s
UA,148,Action,8.8,74.0,Christopher Nolan,2067042,292.576195,2010s
A,139,Drama,8.8,66.0,David Fincher,1854740,37.030102,1990s
U,178,Action,8.8,92.0,Peter Jackson,1661481,315.54475,2000s
UA,142,Drama,8.8,82.0,Robert Zemeckis,1809221,330.252182,1990s
A,161,Western,8.8,90.0,Sergio Leone,688390,6.1,1960s
UA,179,Action,8.7,87.0,Peter Jackson,1485555,342.551365,2000s
A,136,Action,8.7,73.0,Lana Wachowski,1676426,171.47993,1990s
A,146,Biography,8.7,90.0,Martin Scorsese,1020727,46.836394,1990s
UA,124,Action,8.7,82.0,Irvin Kershner,1159315,290.475067,1980s
A,133,Drama,8.7,83.0,Milos Forman,918088,112.0,1970s
A,132,Comedy,8.6,96.0,Bong Joon Ho,552778,53.367844,2010s
UA,169,Adventure,8.6,74.0,Christopher Nolan,1512360,188.020017,2010s
A,130,Crime,8.6,79.0,Fernando Meirelles,699256,7.563397,2000s
U,125,Animation,8.6,96.0,Hayao Miyazaki,651376,10.055859,2000s
R,169,Drama,8.6,91.0,Steven Spielberg,1235804,216.540909,1990s
A,189,Crime,8.6,61.0,Frank Darabont,1147794,136.801374,1990s
U,116,Comedy,8.6,59.0,Roberto Benigni,623629,57.598247,1990s
A,127,Crime,8.6,65.0,David Fincher,1445096,100.125643,1990s
A,118,Crime,8.6,85.0,Jonathan Demme,1270197,130.742922,1990s
UA,121,Action,8.6,90.0,George Lucas,1231473,322.74014,1970s
U,207,Action,8.6,98.0,Akira Kurosawa,315744,0.269061,1950s
PG,130,Drama,8.6,89.0,Frank Capra,405801,17.057,1940s
A,122,Crime,8.5,59.0,Todd Phillips,939252,335.451311,2010s
A,106,Drama,8.5,88.0,Damien Chazelle,717585,13.092,2010s
UA,112,Biography,8.5,57.0,Olivier Nakache,760360,13.182281,2010s
U,130,Drama,8.5,66.0,Christopher Nolan,1190259,53.089891,2000s
A,151,Crime,8.5,85.0,Martin Scorsese,1189773,132.384315,2000s
R,150,Biography,8.5,85.0,Roman Polanski,729603,32.572577,2000s
UA,155,Action,8.5,67.0,Ridley Scott,1341460,187.705427,2000s
R,119,Drama,8.5,62.0,Tony Kaye,1034705,6.719864,1990s
A,106,Crime,8.5,77.0,Bryan Singer,991208,23.341568,1990s
A,110,Action,8.5,64.0,Luc Besson,1035236,19.501238,1990s
U,88,Animation,8.5,88.0,Roger Allers,942045,422.783777,1990s
U,137,Action,8.5,75.0,James Cameron,995506,204.84335,1990s
U,155,Drama,8.5,80.0,Giuseppe Tornatore,230763,11.990401,1980s
U,89,Animation,8.5,94.0,Isao Takahata,235231,52.70370166666667,1980s
U,116,Adventure,8.5,87.0,Robert Zemeckis,1058081,210.609762,1980s
U,165,Western,8.5,80.0,Sergio Leone,302844,5.321508,1960s
A,109,Horror,8.5,97.0,Alfred Hitchcock,604211,32.0,1950s
U,102,Drama,8.5,100.0,Michael Curtiz,522093,1.02456,1940s
G,87,Comedy,8.5,96.0,Charles Chaplin,217881,0.163245,1930s
G,87,Comedy,8.5,99.0,Charles Chaplin,167839,0.019181,1930s
A,126,Drama,8.4,75.0,Nadine Labaki,62635,1.661096,2010s
UA,147,Action,8.4,73.52941176470588,Gayatri,28401,169.74104375000002,2010s
U,106,Animation,8.4,79.0,Makoto Shinkai,194838,5.017246,2010s
U,161,Action,8.4,73.52941176470588,Nitesh Tiwari,156479,12.391761,2010s
U,117,Animation,8.4,87.0,Bob Persichetti,375110,190.24131,2010s
UA,181,Action,8.4,78.0,Anthony Russo,809955,858.373,2010s
UA,149,Action,8.4,68.0,Anthony Russo,834477,678.815482,2010s
U,105,Animation,8.4,81.0,Lee Unkrich,384171,209.726015,2010s
A,165,Drama,8.4,81.0,Quentin Tarantino,1357682,162.805434,2010s
UA,164,Action,8.4,78.0,Christopher Nolan,1516346,448.139099,2010s
UA,170,Comedy,8.4,67.0,Rajkumar Hirani,344445,6.532908,2000s
U,165,Drama,8.4,79.15668202764977,Aamir Khan,168895,1.223869,2000s
U,98,Animation,8.4,95.0,Andrew Stanton,999790,223.808164,2000s
A,137,Drama,8.4,89.0,Florian Henckel von Donnersmarck,358685,11.286112,2000s
A,101,Action,8.4,77.0,Chan-wook Park,515451,0.707481,2000s
UA,113,Mystery,8.4,80.0,Christopher Nolan,1125712,25.544867,2000s
U,134,Animation,8.4,76.0,Hayao Miyazaki,343171,2.375308,1990s
A,229,Crime,8.4,75.98717948717949,Sergio Leone,311365,5.321508,1980s
A,115,Action,8.4,85.0,Steven Spielberg,884112,248.159971,1980s
